LIB1,android.support.constraint
GENERAL DESCRIPTION,
class-name,class-description
Converters,Build in converters to converts for color.
ListenerUtil,Utility class that helps with tracking listeners for views from binding adapters.
class-of-method,method-name-description
Converters,convertColorToColorStateList(int color) Converts int color into a ColorStateList.
Converters,convertColorToDrawable(int color) Converts int color into a ColorDrawable.
ListenerUtil,"getListener(View view, int listenerResourceId) Returns the previous value for a listener if one was stored previously with trackListener(View, Object, int)"
ListenerUtil,"trackListener(View view, T listener, int listenerResourceId) This method tracks listeners for a View."
LIB4,com.android.support::support-compat
URL,https://developer.android.com/reference/android/support/compat/package-summary
GENERAL DESCRIPTION,
class-name,class-description
R,
R.attr,
R.bool,
R.color,
R.dimen,
R.drawable,
R.id,
R.integer,
R.layout,
R.string,
R.style,
R.styleable,
class-of-method,method-name-description
,
LIB5,com.android.support::leanback-v17
URL,https://developer.android.com/reference/android/support/v17/leanback/package-summary
GENERAL DESCRIPTION,
class-name,class-description
R,
R.anim,
R.animator,
R.attr,
R.bool,
R.color,
R.dimen,
R.drawable,
R.fraction,
R.id,
R.integer,
R.layout,
R.raw,
R.string,
R.style,
R.styleable,
R.transition,
class-of-method,method-name-description
LIB6,com.android.support::recommendation
URL,https://developer.android.com/reference/android/support/recommendation/package-summary
GENERAL DESCRIPTION,
class-name,class-description
R,
class-of-method,method-name-description
LIB7,com.android.support::preference-v14
URL,https://developer.android.com/reference/android/support/v14/preference/package-summary
GENERAL DESCRIPTION,
class-name,class-description
EditTextPreferenceDialogFragment,
ListPreferenceDialogFragment,
MultiSelectListPreference,A Preference that displays a list of entries as a dialog.
MultiSelectListPreferenceDialogFragment,
PreferenceDialogFragment,Abstract base class which presents a dialog associated with a DialogPreference.
PreferenceFragment,Shows a hierarchy of Preference objects as lists.
R,
R.anim,
R.attr,
R.bool,
R.color,
R.dimen,
R.drawable,
R.id,
R.integer,
R.layout,
R.string,
R.style,
R.styleable,
SwitchPreference,A Preference that provides a two-state toggleable option.
class-of-method,method-name-description
EditTextPreferenceDialogFragment,newInstance(String key)
EditTextPreferenceDialogFragment,onCreate(Bundle savedInstanceState)
EditTextPreferenceDialogFragment,onDialogClosed(boolean positiveResult)
EditTextPreferenceDialogFragment,onSaveInstanceState(Bundle outState)
ListPreferenceDialogFragment,newInstance(String key)
ListPreferenceDialogFragment,onCreate(Bundle savedInstanceState)
ListPreferenceDialogFragment,onDialogClosed(boolean positiveResult)
ListPreferenceDialogFragment,onSaveInstanceState(Bundle outState)
ListPreferenceDialogFragment,onPrepareDialogBuilder(AlertDialog.Builder builder) Prepares the dialog builder to be shown when the preference is clicked.
MultiSelectListPreference,findIndexOfValue(String value) Returns the index of the given value (in the entry mValues array).
MultiSelectListPreference,getEntries() The list of entries to be shown in the list in subsequent dialogs.
MultiSelectListPreference,getEntryValues() Returns the array of mValues to be saved for the preference.
MultiSelectListPreference,getValues() Retrieves the current value of the key.
MultiSelectListPreference,setEntries(CharSequence[] entries) Sets the human-readable entries to be shown in the list.
MultiSelectListPreference,setEntries(int entriesResId)
MultiSelectListPreference,setEntryValues(int entryValuesResId)
MultiSelectListPreference,setEntryValues(CharSequence[] entryValues) The array to find the value to save for a preference when an entry from entries is selected.
MultiSelectListPreference,setValues(Set<String> values) Sets the value of the key.
MultiSelectListPreference,getSelectedItems()
MultiSelectListPreference,"onGetDefaultValue(TypedArray a, int index) Called when a Preference is being inflated and the default value attribute needs to be read."
MultiSelectListPreference,onRestoreInstanceState(Parcelable state) Hook allowing a Preference to re-apply a representation of its internal state that had previously been generated by onSaveInstanceState().
MultiSelectListPreference,onSaveInstanceState() Hook allowing a Preference to generate a representation of its internal state that can later be used to create a new instance with that same state.
MultiSelectListPreference,"onSetInitialValue(boolean restoreValue, Object defaultValue) Implement this to set the initial value of the Preference."
MultiSelectListPreferenceDialogFragment,newInstance(String key)
MultiSelectListPreferenceDialogFragment,onCreate(Bundle savedInstanceState)
MultiSelectListPreferenceDialogFragment,onDialogClosed(boolean positiveResult)
MultiSelectListPreferenceDialogFragment,onSaveInstanceState(Bundle outState)
MultiSelectListPreferenceDialogFragment,onPrepareDialogBuilder(AlertDialog.Builder builder) Prepares the dialog builder to be shown when the preference is clicked.
PreferenceDialogFragment,getPreference() Get the preference that requested this dialog.
PreferenceDialogFragment,"onClick(DialogInterface dialog, int which)"
PreferenceDialogFragment,onCreate(Bundle savedInstanceState)
PreferenceDialogFragment,onCreateDialog(Bundle savedInstanceState)
PreferenceDialogFragment,onDialogClosed(boolean positiveResult)
PreferenceDialogFragment,onDismiss(DialogInterface dialog)
PreferenceDialogFragment,onSaveInstanceState(Bundle outState)
PreferenceDialogFragment,onBindDialogView(View view) Binds views in the content View of the dialog to data.
PreferenceDialogFragment,onCreateDialogView(Context context) Creates the content view for the dialog (if a custom content view is required).
PreferenceDialogFragment,onPrepareDialogBuilder(AlertDialog.Builder builder) Prepares the dialog builder to be shown when the preference is clicked.
PreferenceFragment,addPreferencesFromResource(int preferencesResId) Inflates the given XML resource and adds the preference hierarchy to the current preference hierarchy.
PreferenceFragment,findPreference(CharSequence key) Finds a Preference based on its key.
PreferenceFragment,getListView()
PreferenceFragment,getPreferenceManager() Returns the PreferenceManager used by this fragment.
PreferenceFragment,getPreferenceScreen() Gets the root of the preference hierarchy that this fragment is showing.
PreferenceFragment,onActivityCreated(Bundle savedInstanceState)
PreferenceFragment,onCreate(Bundle savedInstanceState)
PreferenceFragment,"onCreateLayoutManager() Called from onCreateRecyclerView(LayoutInflater, ViewGroup, Bundle) to create the RecyclerView.LayoutManager for the created RecyclerView."
PreferenceFragment,"onCreatePreferences(Bundle savedInstanceState, String rootKey) Called during onCreate(Bundle) to supply the preferences for this fragment."
PreferenceFragment,"onCreateRecyclerView(LayoutInflater inflater, ViewGroup parent, Bundle savedInstanceState) Creates the RecyclerView used to display the preferences."
PreferenceFragment,"onCreateView(LayoutInflater inflater, ViewGroup container, Bundle savedInstanceState)"
PreferenceFragment,onDestroyView()
PreferenceFragment,onDisplayPreferenceDialog(Preference preference) Called when a preference in the tree requests to display a dialog.
PreferenceFragment,onNavigateToScreen(PreferenceScreen preferenceScreen) Called by onClick() in order to navigate to a new screen of preferences.
PreferenceFragment,onPreferenceTreeClick(Preference preference) Called when a preference in the tree rooted at this PreferenceScreen has been clicked.
PreferenceFragment,onSaveInstanceState(Bundle outState)
PreferenceFragment,onStart()
PreferenceFragment,onStop()
PreferenceFragment,"onViewCreated(View view, Bundle savedInstanceState)"
PreferenceFragment,scrollToPreference(Preference preference)
PreferenceFragment,scrollToPreference(String key)
PreferenceFragment,setDivider(Drawable divider) Sets the drawable that will be drawn between each item in the list.
PreferenceFragment,setDividerHeight(int height) Sets the height of the divider that will be drawn between each item in the list.
PreferenceFragment,setPreferenceScreen(PreferenceScreen preferenceScreen) Sets the root of the preference hierarchy that this fragment is showing.
PreferenceFragment,"setPreferencesFromResource(int preferencesResId, String key) Inflates the given XML resource and replaces the current preference hierarchy (if any) with the preference hierarchy rooted at key."
PreferenceFragment,onCreateAdapter(PreferenceScreen preferenceScreen) Creates the root adapter.
SwitchpPreference,getSwitchTextOff()
SwitchpPreference,getSwitchTextOn()
SwitchpPreference,onBindViewHolder(PreferenceViewHolder holder) Binds the created View to the data for this Preference.
SwitchpPreference,setSwitchTextOff(int resId) Set the text displayed on the switch widget in the off state.
SwitchpPreference,setSwitchTextOff(CharSequence offText) Set the text displayed on the switch widget in the off state.
SwitchpPreference,setSwitchTextOn(CharSequence onText) Set the text displayed on the switch widget in the on state.
SwitchpPreference,setSwitchTextOn(int resId) Set the text displayed on the switch widget in the on state.
LIB8,com.android.support::percent
URL,https://developer.android.com/reference/android/support/percent/package-summary
GENERAL DESCRIPTION,
class-name,class-description
PercentFrameLayout,"This class was deprecated in API level 26.1.0. consider using ConstraintLayout and associated layouts instead. The following shows how to replicate the functionality of percentage layouts with a ConstraintLayout. The Guidelines are used to define each percentage break point, and then a Button view is stretched to fill the gap: "
PercentFrameLayout.LayoutParams,This class was deprecated in API level 26.1.0. this class is deprecated along with its parent class.
PercentLayoutHelper,"This class was deprecated in API level 26.1.0. consider using ConstraintLayout and associated layouts instead. The following shows how to replicate the functionality of percentage layouts with a ConstraintLayout. The Guidelines are used to define each percentage break point, and then a Button view is stretched to fill the gap:"
PercentLayoutHelper.PercentLayoutInfo,This class was deprecated in API level 26.1.0. use ConstraintLayout and Guidelines for layout support.
PercentRelativeLayout,"This class was deprecated in API level 26.1.0. consider using ConstraintLayout and associated layouts instead. The following shows how to replicate the functionality of percentage layouts with a ConstraintLayout. The Guidelines are used to define each percentage break point, and then a Button view is stretched to fill the gap:"
PercentRelativeLayout.LayoutParams,This class was deprecated in API level 26.1.0. this class is deprecated along with its parent class.
R,
R.attr,
R.bool,
R.color,
R.dimen,
R.drawable,
R.id,
R.integer,
R.layout,
R.string,
R.style,
R.styleable,
class-of-method,method-name-description
PercentFrameLayout,generateLayoutParams(AttributeSet attrs)
PercentFrameLayout,generateDefaultLayoutParams()
PercentFrameLayout,"onLayout(boolean changed, int left, int top, int right, int bottom)"
PercentFrameLayout,"onMeasure(int widthMeasureSpec, int heightMeasureSpec)"
PercentFrameLayout.LayoutParams,getPercentLayoutInfo()
PercentFrameLayout.LayoutParams,"setBaseAttributes(TypedArray a, int widthAttr, int heightAttr)"
PercentLayoutHelper,"adjustChildren(int widthMeasureSpec, int heightMeasureSpec) Iterates over children and changes their width and height to one calculated from percentage values."
PercentLayoutHelper,"fetchWidthAndHeight(ViewGroup.LayoutParams params, TypedArray array, int widthAttr, int heightAttr) Helper method to be called from setBaseAttributes(TypedArray, int, int) override that reads layout_width and layout_height attribute values without throwing an exception if they aren't present."
PercentLayoutHelper,"getPercentLayoutInfo(Context context, AttributeSet attrs) Constructs a PercentLayoutInfo from attributes associated with a View."
PercentLayoutHelper,handleMeasuredStateTooSmall() Iterates over children and checks if any of them would like to get more space than it received through the percentage dimension.
PercentLayoutHelper,restoreOriginalParams() Iterates over children and restores their original dimensions that were changed for percentage values.
PercentLayoutHelper.PercentLayoutInfo,"fillLayoutParams(ViewGroup.LayoutParams params, int widthHint, int heightHint) Fills the width and height fields of the passed ViewGroup.LayoutParams object based on currently set percentage values."
PercentLayoutHelper.PercentLayoutInfo,"fillMarginLayoutParams(View view, ViewGroup.MarginLayoutParams params, int widthHint, int heightHint) Fills the margin fields of the passed ViewGroup.MarginLayoutParams object based on currently set percentage values and the current layout direction of the passed View."
PercentLayoutHelper.PercentLayoutInfo,"fillMarginLayoutParams(ViewGroup.MarginLayoutParams params, int widthHint, int heightHint) This method was deprecated in API level 24.1.0. Use fillMarginLayoutParams(View, ViewGroup.MarginLayoutParams, int, int) for proper RTL support."
PercentLayoutHelper.PercentLayoutInfo,restoreLayoutParams(ViewGroup.LayoutParams params) Restores original dimensions after they were changed for percentage based values.
PercentLayoutHelper.PercentLayoutInfo,restoreMarginLayoutParams(ViewGroup.MarginLayoutParams params) Restores the original dimensions and margins after they were changed for percentage based values.
PercentLayoutHelper.PercentLayoutInfo,toString()
PercentRelativeLayout,generateDefaultLayoutParams()
PercentRelativeLayout,"onLayout(boolean changed, int left, int top, int right, int bottom)"
PercentRelativeLayout,"onMeasure(int widthMeasureSpec, int heightMeasureSpec)"
PercentRelativeLayout,getPercentLayoutInfo()
PercentRelativeLayout.LayoutParams,"setBaseAttributes(TypedArray a, int widthAttr, int heightAttr)"
LIB9,com.android.support::cardview-v7
URL,https://developer.android.com/reference/android/support/v7/cardview/package-summary
GENERAL DESCRIPTION,
class-name,class-description
R,
R.attr,
R.bool,
R.color,
R.dimen,
R.style,
R.styleable,
